X,Y,ID,Lat,Long,Location,Type,Description,distToBuilding,gridarea,buildingfootprintarea,percentbuilt,terrain,HorticultureZone,Area,Temparea,Valley,distToTree,distToWalkway,distToRoad,distToPath,distToCourtTrack,distToCarpark,roadarea,percentroad,patharea,percentpath,walkwayarea,percentwalkway,courttrackarea,percentcourttrack,carparkarea,percentcarpark,numtrees
21042.23831,31242.52129,"3",103.77080,1.29882, Between E1 and EW 1,Ground,The balcony on the second floor of E1 (Facing EW 1),0.68151,399.99952,148.34272,37.08572,47.24897,Zone 1,,,Valley,0.00043,228.06879,0.00000,87.93765,267.64160,63.82834,131.60305,32.90080,,,,,,,,,"0"
21147.97437,31630.63663,"20",103.77175,1.30233, Cultural Centre,Ground,Lamp post (No. MP-SH-OG- 01),17.67098,399.99953,,,23.56321,Zone 2,,,,0.00004,102.44390,1.71311,18.69014,177.45431,140.79198,161.45915,40.36483,,,,,,,,,"2"
21188.01955,30822.33307,"8",103.77211,1.29502, Between AS1 & AS3,Ground,Top of the covered walkway between AS1 & AS 3,0.00000,399.99954,222.11225,55.52813,47.79486,Zone 4,,,Valley,0.00007,116.48310,36.25478,27.72380,262.57085,91.14846,,,,,,,,,,,"1"
21210.28151,30976.03165,"6",103.77231,1.29641, Central Library,Ground,Walkway post next to the Central Library Bus Stop,2.84506,399.99954,159.29393,39.82353,40.05906,Zone 2,,,,0.00008,78.97014,0.09588,0.71531,412.98323,87.21334,113.99536,28.49887,106.30421,26.57608,26.44053,6.61014,,,,,"0"
21251.46471,31202.70922,"4",103.77268,1.29846, Between E4 & E4A,Ground,Lamp post (No. E4-DB-04),5.49422,399.99955,183.15881,45.78975,42.84434,Zone 1,,,Valley,0.00005,243.19717,53.48967,0.13740,215.90812,24.76957,,,128.41695,32.10427,,,,,,,"0"
21254.80024,31068.91350,"11",103.77271,1.29725, IT Bus Stop,Ground,,0.00000,399.99955,37.54209,9.38553,47.58942,Zone 1,,,Valley,0.00005,51.15796,2.94353,10.85378,348.01102,11.46351,9.83699,2.45925,7.07997,1.77000,60.60969,15.15244,,,89.65692,22.41425,"3"
21310.45279,31360.82993,"2",103.77321,1.29989, Raffles Hall,Ground,"Between RH2 and RH3, covered walkway post",1.57015,399.99956,69.94875,17.48721,25.03599,Zone 1,,Temparea,Valley,0.00008,122.30539,108.95792,1.60972,57.97288,52.28841,,,59.43272,14.85820,,,,,,,"0"
21546.39146,31428.27511,"19",103.77533,1.30050, Wind Tunnel,Ground,Lamp post (No. MP-SH-OG- 24),24.41229,399.99959,,,21.24668,Zone 2,,,,0.00015,234.20460,4.65890,76.30626,155.83577,27.67312,100.50111,25.12530,,,0.11349,0.02837,,,,,"0"
21843.53252,31150.72544,"18",103.77800,1.29799, Sports Field,Ground,,38.93108,399.99962,,,22.02973,Zone 2,,,,0.00018,48.16338,5.79898,18.55649,0.58583,153.68172,117.64078,29.41022,,,,,143.13988,35.78500,,,"0"
21908.06866,30561.35985,"12",103.77858,1.29266, Green area next to PGP,Ground,Greenery ground behind Office of Campus Security,10.52352,399.99963,63.01212,15.75304,33.60504,Zone 2,Vegetated Ridge,,,0.00015,199.00287,23.53424,100.42134,131.04047,202.07001,,,,,,,,,,,"0"
22082.80548,31005.86720,"17",103.78015,1.29668, Science Drive 2,Ground,Lamp post (No. S16-1),5.48086,399.99965,174.95433,43.73862,23.54144,Zone 3,,,,0.00002,142.45548,2.46573,62.83724,222.55918,8.15005,113.62622,28.40658,,,,,,,0.54522,0.13630,"1"
22150.68034,30388.85790,"13",103.78076,1.29110, PGP Residences 1,Ground,Lamp post (No. Mercury-R1-19),19.30173,399.99966,,,35.78543,Zone 2,,Temparea,,0.00019,532.15722,1.32177,25.37281,92.91492,143.52367,293.16828,73.29213,,,5.89683,1.47421,,,,,"0"
22196.31786,30779.18631,"16",103.78117,1.29463, Between Tahir and SICS,Ground,Lamp post,21.65002,399.99967,,,41.24351,Zone 3,,,,0.00007,273.14477,30.09006,51.79948,178.93587,0.00000,,,,,,,,,388.90143,97.22544,"1"
20933.16250,30824.55084,"7",103.76982,1.29504, Ventus Carpark,Ground,Lamp post (No. VT-OG2-01),9.90256,399.99950,,,18.97783,Zone 4,,,,0.00002,28.08063,2.45513,34.71876,148.27183,38.57768,,,,,,,,,,,"1"
